都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,経度,緯度,,2400分割,3600分割,,480分割,720分割
宗谷,11001,四,宗谷岬,ｿｳﾔﾐｻｷ,稚内市宗谷岬,45,31.2,141,56.1,26,10,1.5,昭53.10.30,－,－,141.935,45.52,,1754,3062,,350,612
宗谷,11016,官,稚内,ﾜｯｶﾅｲ,稚内市開運　稚内地方気象台,45,24.9,141,40.7,3,23.5,－,#昭50.4.1,11903,－,141.6783333,45.415,,1734,3049,,346,609
宗谷,11046,四,礼文,ﾚﾌﾞﾝ,礼文郡礼文町大字香深村トンナイ,45,18.3,141,2.7,65,6.5,1.5,平15.10.17,－,－,141.045,45.305,,1683,3036,,336,607
宗谷,11061,官,声問,ｺｴﾄｲ,稚内市大字声問村字声問　稚内航空気象観測所,45,24.2,141,48.1,8,10,－,平15.1.1,11904,日照を除く,141.8016667,45.40333333,,1744,3048,,348,609
宗谷,11076,四,浜鬼志別,ﾊﾏｵﾆｼﾍﾞﾂ,宗谷郡猿払村浜鬼志別,45,20.1,142,10.2,13,6.5,1.5,昭53.10.30,11900,－,142.17,45.335,,1773,3040,,354,608
宗谷,11091,官,本泊,ﾓﾄﾄﾞﾏﾘ,利尻郡利尻富士町鴛泊字本泊　利尻航空気象観測所,45,14.5,141,11.2,30,10,－,平15.1.1,－,日照を除く,141.1866667,45.24166667,,1694,3029,,338,605
宗谷,11121,四,沼川,ﾇﾏｶﾜ,稚内市声問村沼川,45,14.9,141,51.1,23,8,1.5,昭52.10.20,11905,－,141.8516667,45.24833333,,1748,3029,,349,605
宗谷,11151,四,沓形,ｸﾂｶﾞﾀ,利尻郡利尻町沓形泉町,45,10.7,141,8.3,14,6.5,1.5,#昭52.10.24,－,－,141.1383333,45.17833333,,1691,3021,,338,604
宗谷,11176,四,豊富,ﾄﾖﾄﾐ,天塩郡豊富町豊富東2条,45,6.1,141,46.8,14,10,1.5,(昭50.5.29)昭52.10.25,11910,－,141.78,45.10166667,,1742,3012,,348,602
宗谷,11206,四,浜頓別,ﾊﾏﾄﾝﾍﾞﾂ,枝幸郡浜頓別町クッチャロ湖畔,45,7.5,142,21,18,10,2.5,#昭52.10.19,－,－,142.35,45.125,,1788,3015,,357,603
宗谷,11276,四,中頓別,ﾅｶﾄﾝﾍﾞﾂ,枝幸郡中頓別町上駒,44,57.9,142,16.8,25,10.2,1.5,(昭50.5.28)昭52.10.19,11915,－,142.28,44.965,,1782,2995,,356,599
宗谷,11291,官,北見枝幸,ｷﾀﾐｴｻｼ,枝幸郡枝幸町本町　北見枝幸特別地域気象観測所,44,56.4,142,35.1,7,17.2,－,#昭51.1.1,11917,－,142.585,44.94,,1806,2992,,361,598
宗谷,11316,四,歌登,ｳﾀﾉﾎﾞﾘ,枝幸郡枝幸町歌登東町,44,50.5,142,28.8,14,10,1.5,#昭52.10.25,11920,－,142.48,44.84166667,,1798,2981,,359,596
宗谷,13011,雨,幌延,ﾎﾛﾉﾍﾞ,天塩郡幌延町上幌延,45,0.4,141,51.1,5,－,－,平17.11.15,－,－,141.8516667,45.00666667,,1748,3000,,349,600
上川,12011,四,中川,ﾅｶｶﾞﾜ,中川郡中川町中川,44,49.7,142,4.6,22,10,1.5,昭52.10.19,－,－,142.0766667,44.82833333,,1766,2979,,353,595
上川,12041,四,音威子府,ｵﾄｲﾈｯﾌﾟ,中川郡音威子府村音威子府,44,43.6,142,15.9,40,10,1.5,昭52.10.17,12905,－,142.265,44.72666667,,1781,2967,,356,593
上川,12066,雨,小車,ｵｸﾞﾙﾏ,中川郡美深町小車,44,36.5,142,17.7,62,－,－,平17.11.9,－,－,142.295,44.60833333,,1783,2953,,356,590
上川,12141,四,美深,ﾋﾞﾌｶ,中川郡美深町西町,44,28.8,142,20.5,77,10,1.5,#昭52.10.6,12900,－,142.3416667,44.48,,1787,2937,,357,587
上川,12181,四,名寄,ﾅﾖﾛ,名寄市大橋,44,22.2,142,27.4,89,8,2.6,#昭51.4.1,12910,－,142.4566667,44.37,,1796,2924,,359,584
